Category;Ranking;ReviewsQuantity;Rating;Price;Name
"Accesories";1;37224;4.5;9.99;"1AmazonBasicsAAA1.5VoltPerformanceAlkalineBatteries-Packof36(Appearancemayvary)"
"Accesories";2;42165;4.4;13.94;"2AmazonBasicsAA1.5VoltPerformanceAlkalineBatteries-Packof48(Appearancemayvary)"
"Accesories";3;8675;4.6;19.98;"3EnergizerAABatteries(48Count),DoubleAMaxAlkalineBattery"
"Accesories";4;42165;4.4;8.13;"4AmazonBasicsAA1.5VoltPerformanceAlkalineBatteries-Packof20(Appearancemayvary)"
"Accesories";5;NA;4.6;113.15;"5AppleAirPodswithChargingCase"
"Accesories";6;31668;4.5;10.99;"6MkekeCompatiblewithiPhoneXRScreenProtector,iPhone11ScreenProtector,TemperedGlassFilmforAppleiPhoneXR&iPhone11,3-PackClear"
"Accesories";7;7867;4.5;5;"7LiCBCR20323VLithiumBattery(10-Pack)"
"Accesories";8;22307;4.3;6.89;"8AilunGlassScreenProtectorforiPhone11/iPhoneXR6.1Inch3PackTemperedGlassScreenProtectorforAppleiPhone11/iPhoneXR6.1InchDisplayAntiScratchAdvancedHDClarityWorkMostCase"
"Accesories";9;37224;4.5;6.96;"9AmazonBasicsAAA1.5VoltPerformanceAlkalineBatteries-Packof20(Appearancemayvary)"
"Accesories";10;NA;4.1;18.99;"10LogitechMK270WirelessKeyboardandMouseCombo-KeyboardandMouseIncluded,2.4GHzDropout-FreeConnection,LongBatteryLife(Frustration-FreePackaging)"
"Accesories";11;3994;4.7;9.97;"11AmazonBasicsBraided4kHDMItoHDMICable-10-Foot"
"Accesories";12;NA;4.4;7.02;"12AppleLightningto3.5mmHeadphoneJackAdapter"
"Accesories";13;2933;4.7;20.45;"13EnergizerAAABatteries(48Count),TripleAMaxAlkalineBattery"
"Accesories";14;6099;4.7;12.78;"14Duracell-CopperTopAAAlkalineBatteries-longlasting,all-purposeDoubleAbatteryforhouseholdandbusiness-20Count"
"Accesories";15;11785;4.6;11.99;"15AmazonBasicsCCell1.5VoltEverydayAlkalineBatteries-Packof12(Appearancemayvary)"
"Accesories";16;13094;3.8;9.99;"16iPhoneCharger,YUNSONG3Pack6FTNylonBraidedLightningCableChargingCordUSBCableCompatiblewithiPhone11ProMaxXSXRX876S6PlusSE5S5C5iPad"
"Accesories";17;10756;4.6;13.29;"17AmazonBasicsDCell1.5VoltEverydayAlkalineBatteries-Packof12(Appearancemayvary)"
"Accesories";18;NA;4.5;45.89;"18HP63|2InkCartridges|Black,Tri-Color|F6U61AN,F6U62AN"
"Accesories";19;37167;4.5;10.99;"19VicTsingMM0572.4GWirelessPortableMobileMouseOpticalMicewithUSBReceiver,5AdjustableDPILevels,6ButtonsforNotebook,PC,Laptop,Computer-Black"
"Accesories";20;65331;4.7;19.49;"20Samsung(MB-ME128GA/AM)128GB100MB/s(U3)MicroSDXCEVOSelectMemoryCardwithFull-SizeAdapter"
"Accesories";21;10986;4.4;5.09;"21AilunforAppleiPhone11ProMax/iPhoneXsMaxScreenProtector3Pack6.5Inch2019/2018ReleaseTemperedGlass0.33mmAntiScratchAdvancedHDClarityWorkwithMostCase"
"Accesories";22;10534;4.4;19.99;"22AppleEarPodswithLightningConnector-White"
"Accesories";23;42165;4.4;23.99;"23AmazonBasicsAA1.5VoltPerformanceAlkalineBatteries-Packof100(Appearancemayvary)"
"Accesories";24;33435;4.3;7.89;"24AilunScreenProtectorforiPhone8Plus/7Plus/6sPlus/6Plus-5.5Inch3Pack2.5DEdgeTemperedGlassCompatiblewithiPhone8Plus/7plus/6sPlus/6Plus-AntiScratchCaseFriendly"
"Accesories";25;9403;4.6;15.99;"25EnergizerAABatteries(24Count),DoubleAMaxAlkalineBattery"
"Accesories";26;3696;4.3;13.99;"26iPhoneChargerYOKERSUNylonBraidedLightningCableFastCharging2Pack6FTDataSyncTransferCordwithPortPlugWallCharger(ETLListed)CompatiblewithiPhoneXSMax/XS/XR/X/8/7/6S/6/Plus/SE/iPad"
"Accesories";27;2034;4.6;5.69;"27LiCB20PackLR41AG3392384192Battery1.5VButtonCoinCellBatteries"
"Accesories";28;7172;4.6;5;"28LiCB20PackLR44AG13357303SR44Battery1.5VButtonCoinCellBatteries"
"Accesories";29;189012;4.7;7.99;"29SanDiskUltra32GBMicroSDHCUHS-ICardwithAdapter-98MB/sU1A1-SDSQUAR-032G-GN6MA"
"Accesories";30;11819;4.8;25.98;"30SanDisk128GBMicroSDXCUHS-IMemoryCardforNintendoSwitch-SDSQXAO-128G-GNCZN"
"Accesories";31;34236;4.3;9.99;"31YootechWirelessCharger,Qi-Certified10WMaxFastWirelessChargingPadCompatiblewithiPhone11/11Pro/11ProMax/XSMAX/XR/XS/X/8,SamsungGalaxyS20/Note10/S10/S9,AirPodsPro(With2USBCCable)"
"Accesories";32;11150;4.6;11.99;"32AmazonBasics6-OutletSurgeProtectorPowerStrip2-Pack,2-FootLongCord,200Joule-Black"
"Accesories";33;32171;4.4;9.99;"33Sabrent4-PortUSB3.0HubwithIndividualLEDPowerSwitches(HB-UM43)"
"Accesories";34;5001;4.7;15.99;"34Duracell-CopperTopAAAAlkalineBatteries-longlasting,all-purposeTripleAbatteryforhouseholdandbusiness-20Count"
"Accesories";35;39976;4.3;6.99;"35JETechScreenProtectorforAppleiPhone8andiPhone7,4.7-Inch,TemperedGlassFilm,2-Pack"
"Accesories";36;4922;4.4;7.99;"36MoreadHDMItoVGA,Gold-PlatedHDMItoVGAAdapter(MaletoFemale)forComputer,Desktop,Laptop,PC,Monitor,Projector,HDTV,Chromebook,RaspberryPi,Roku,XboxandMore-Black"
"Accesories";37;41283;4.3;7.99;"37AmazonBasicsLightningtoUSBACable,MFiCertifiediPhoneCharger,White,6Foot"
"Accesories";38;54571;4.3;6.99;"38amFilmGlassScreenProtectorforiPhone8,7,6S,6(4.7Inch)(2Pack)TemperedGlassScreenProtector"
"Accesories";39;6967;4.6;8.99;"39Anker4-PortUSB3.0Hub,Ultra-SlimDataUSBHubwith2ftExtendedCable[ChargingNotSupported],forMacBook,MacPro,Macmini,iMac,SurfacePro,XPS,PC,FlashDrive,MobileHDD"
"Accesories";40;6072;4.4;12.99;"40QGeeMUSBCtoHDMIAdapter4KCable,USBType-CtoHDMIAdapter[Thunderbolt3Compatible]MacBookPro2018/2017,SamsungGalaxyS9/S8,SurfaceBook2,DellXPS13/15,PixelbookMore"
"Accesories";41;12541;4.6;94.88;"41ApplePencil"
"Accesories";42;37224;4.5;22.99;"42AmazonBasicsAAA1.5VoltPerformanceAlkalineBatteries-Packof100(Appearancemayvary)"
"Accesories";43;NA;4.5;45.89;"43HP61|2InkCartridges|Black,Tri-color|CH561WN,CH562WN"
"Accesories";44;NA;4.5;13.98;"44FalconDust-OffElectronicsCompressedGasDuster10Oz(4Pack)"
"Accesories";45;16983;4.7;8.99;"45Trianium(3Packs)ScreenProtectorDesignedforAppleiPhone11ProMax,iPhoneXSMax(6.5"2018)PremiumHDClarity0.25mmTemperedGlassScreenProtectorEasyInstallationAlignmentCase(3-Pack)"
"Accesories";46;NA;4.3;26.95;"46LogitechMK345WirelessCombo–Full-sizedKeyboardwithPalmRestandComfortableRight-HandedMouse"
"Accesories";47;NA;NA;NA;"47HPT0A36AN"
"Accesories";14065;NA;4.6;29.89;"14065|2InkCartridges|Black,Tri-color|N9K01AN,N9K02AN"
"Accesories";48;15494;4.7;7.43;"48AmazonBasicsDVItoHDMICable"
"Accesories";49;86050;4.7;10.99;"49AmazonBasicsHigh-SpeedHDMICable,6Feet,2-Pack"
"Accesories";50;NA;4.4;39.89;"50HP62|2InkCartridges|Black,Tri-color|C2P04AN,C2P06AN(N9H64FN)"
"GPSNavigation";1;37224;4.5;9.99;"1AmazonBasicsAAA1.5VoltPerformanceAlkalineBatteries-Packof36(Appearancemayvary)"
"GPSNavigation";2;42165;4.4;13.94;"2AmazonBasicsAA1.5VoltPerformanceAlkalineBatteries-Packof48(Appearancemayvary)"
"GPSNavigation";3;8675;4.6;19.98;"3EnergizerAABatteries(48Count),DoubleAMaxAlkalineBattery"
"GPSNavigation";4;42165;4.4;8.13;"4AmazonBasicsAA1.5VoltPerformanceAlkalineBatteries-Packof20(Appearancemayvary)"
"GPSNavigation";5;NA;4.6;113.15;"5AppleAirPodswithChargingCase"
"GPSNavigation";6;31668;4.5;10.99;"6MkekeCompatiblewithiPhoneXRScreenProtector,iPhone11ScreenProtector,TemperedGlassFilmforAppleiPhoneXR&iPhone11,3-PackClear"
"GPSNavigation";7;7867;4.5;5;"7LiCBCR20323VLithiumBattery(10-Pack)"
"GPSNavigation";8;22307;4.3;6.89;"8AilunGlassScreenProtectorforiPhone11/iPhoneXR6.1Inch3PackTemperedGlassScreenProtectorforAppleiPhone11/iPhoneXR6.1InchDisplayAntiScratchAdvancedHDClarityWorkMostCase"
"GPSNavigation";9;37224;4.5;6.96;"9AmazonBasicsAAA1.5VoltPerformanceAlkalineBatteries-Packof20(Appearancemayvary)"
"GPSNavigation";10;NA;4.1;18.99;"10LogitechMK270WirelessKeyboardandMouseCombo-KeyboardandMouseIncluded,2.4GHzDropout-FreeConnection,LongBatteryLife(Frustration-FreePackaging)"
"GPSNavigation";11;3994;4.7;9.97;"11AmazonBasicsBraided4kHDMItoHDMICable-10-Foot"
"GPSNavigation";12;NA;4.4;7.02;"12AppleLightningto3.5mmHeadphoneJackAdapter"
"GPSNavigation";13;2933;4.7;20.45;"13EnergizerAAABatteries(48Count),TripleAMaxAlkalineBattery"
"GPSNavigation";14;6099;4.7;12.78;"14Duracell-CopperTopAAAlkalineBatteries-longlasting,all-purposeDoubleAbatteryforhouseholdandbusiness-20Count"
"GPSNavigation";15;11785;4.6;11.99;"15AmazonBasicsCCell1.5VoltEverydayAlkalineBatteries-Packof12(Appearancemayvary)"
"GPSNavigation";16;13094;3.8;9.99;"16iPhoneCharger,YUNSONG3Pack6FTNylonBraidedLightningCableChargingCordUSBCableCompatiblewithiPhone11ProMaxXSXRX876S6PlusSE5S5C5iPad"
"GPSNavigation";17;10756;4.6;13.29;"17AmazonBasicsDCell1.5VoltEverydayAlkalineBatteries-Packof12(Appearancemayvary)"
"GPSNavigation";18;NA;4.5;45.89;"18HP63|2InkCartridges|Black,Tri-Color|F6U61AN,F6U62AN"
"GPSNavigation";19;37167;4.5;10.99;"19VicTsingMM0572.4GWirelessPortableMobileMouseOpticalMicewithUSBReceiver,5AdjustableDPILevels,6ButtonsforNotebook,PC,Laptop,Computer-Black"
"GPSNavigation";20;65331;4.7;19.49;"20Samsung(MB-ME128GA/AM)128GB100MB/s(U3)MicroSDXCEVOSelectMemoryCardwithFull-SizeAdapter"
"GPSNavigation";21;10986;4.4;5.09;"21AilunforAppleiPhone11ProMax/iPhoneXsMaxScreenProtector3Pack6.5Inch2019/2018ReleaseTemperedGlass0.33mmAntiScratchAdvancedHDClarityWorkwithMostCase"
"GPSNavigation";22;10534;4.4;19.99;"22AppleEarPodswithLightningConnector-White"
"GPSNavigation";23;42165;4.4;23.99;"23AmazonBasicsAA1.5VoltPerformanceAlkalineBatteries-Packof100(Appearancemayvary)"
"GPSNavigation";24;33435;4.3;7.89;"24AilunScreenProtectorforiPhone8Plus/7Plus/6sPlus/6Plus-5.5Inch3Pack2.5DEdgeTemperedGlassCompatiblewithiPhone8Plus/7plus/6sPlus/6Plus-AntiScratchCaseFriendly"
"GPSNavigation";25;9403;4.6;15.99;"25EnergizerAABatteries(24Count),DoubleAMaxAlkalineBattery"
"GPSNavigation";26;3696;4.3;13.99;"26iPhoneChargerYOKERSUNylonBraidedLightningCableFastCharging2Pack6FTDataSyncTransferCordwithPortPlugWallCharger(ETLListed)CompatiblewithiPhoneXSMax/XS/XR/X/8/7/6S/6/Plus/SE/iPad"
"GPSNavigation";27;2034;4.6;5.69;"27LiCB20PackLR41AG3392384192Battery1.5VButtonCoinCellBatteries"
"GPSNavigation";28;7172;4.6;5;"28LiCB20PackLR44AG13357303SR44Battery1.5VButtonCoinCellBatteries"
"GPSNavigation";29;189012;4.7;7.99;"29SanDiskUltra32GBMicroSDHCUHS-ICardwithAdapter-98MB/sU1A1-SDSQUAR-032G-GN6MA"
"GPSNavigation";30;11819;4.8;25.98;"30SanDisk128GBMicroSDXCUHS-IMemoryCardforNintendoSwitch-SDSQXAO-128G-GNCZN"
"GPSNavigation";31;34236;4.3;9.99;"31YootechWirelessCharger,Qi-Certified10WMaxFastWirelessChargingPadCompatiblewithiPhone11/11Pro/11ProMax/XSMAX/XR/XS/X/8,SamsungGalaxyS20/Note10/S10/S9,AirPodsPro(With2USBCCable)"
"GPSNavigation";32;11150;4.6;11.99;"32AmazonBasics6-OutletSurgeProtectorPowerStrip2-Pack,2-FootLongCord,200Joule-Black"
"GPSNavigation";33;32171;4.4;9.99;"33Sabrent4-PortUSB3.0HubwithIndividualLEDPowerSwitches(HB-UM43)"
"GPSNavigation";34;5001;4.7;15.99;"34Duracell-CopperTopAAAAlkalineBatteries-longlasting,all-purposeTripleAbatteryforhouseholdandbusiness-20Count"
"GPSNavigation";35;39976;4.3;6.99;"35JETechScreenProtectorforAppleiPhone8andiPhone7,4.7-Inch,TemperedGlassFilm,2-Pack"
"GPSNavigation";36;4922;4.4;7.99;"36MoreadHDMItoVGA,Gold-PlatedHDMItoVGAAdapter(MaletoFemale)forComputer,Desktop,Laptop,PC,Monitor,Projector,HDTV,Chromebook,RaspberryPi,Roku,XboxandMore-Black"
"GPSNavigation";37;41283;4.3;7.99;"37AmazonBasicsLightningtoUSBACable,MFiCertifiediPhoneCharger,White,6Foot"
"GPSNavigation";38;54571;4.3;6.99;"38amFilmGlassScreenProtectorforiPhone8,7,6S,6(4.7Inch)(2Pack)TemperedGlassScreenProtector"
"GPSNavigation";39;6967;4.6;8.99;"39Anker4-PortUSB3.0Hub,Ultra-SlimDataUSBHubwith2ftExtendedCable[ChargingNotSupported],forMacBook,MacPro,Macmini,iMac,SurfacePro,XPS,PC,FlashDrive,MobileHDD"
"GPSNavigation";40;6072;4.4;12.99;"40QGeeMUSBCtoHDMIAdapter4KCable,USBType-CtoHDMIAdapter[Thunderbolt3Compatible]MacBookPro2018/2017,SamsungGalaxyS9/S8,SurfaceBook2,DellXPS13/15,PixelbookMore"
"GPSNavigation";41;12541;4.6;94.88;"41ApplePencil"
"GPSNavigation";42;37224;4.5;22.99;"42AmazonBasicsAAA1.5VoltPerformanceAlkalineBatteries-Packof100(Appearancemayvary)"
"GPSNavigation";43;NA;4.5;45.89;"43HP61|2InkCartridges|Black,Tri-color|CH561WN,CH562WN"
"GPSNavigation";44;NA;4.5;13.98;"44FalconDust-OffElectronicsCompressedGasDuster10Oz(4Pack)"
"GPSNavigation";45;16983;4.7;8.99;"45Trianium(3Packs)ScreenProtectorDesignedforAppleiPhone11ProMax,iPhoneXSMax(6.5"2018)PremiumHDClarity0.25mmTemperedGlassScreenProtectorEasyInstallationAlignmentCase(3-Pack)"
"GPSNavigation";46;NA;4.3;26.95;"46LogitechMK345WirelessCombo–Full-sizedKeyboardwithPalmRestandComfortableRight-HandedMouse"
"GPSNavigation";47;NA;NA;NA;"47HPT0A36AN"
"GPSNavigation";14065;NA;4.6;29.89;"14065|2InkCartridges|Black,Tri-color|N9K01AN,N9K02AN"
"GPSNavigation";48;15494;4.7;7.43;"48AmazonBasicsDVItoHDMICable"
"GPSNavigation";49;86050;4.7;10.99;"49AmazonBasicsHigh-SpeedHDMICable,6Feet,2-Pack"
"GPSNavigation";50;NA;4.4;39.89;"50HP62|2InkCartridges|Black,Tri-color|C2P04AN,C2P06AN(N9H64FN)"
"OfficeElectronics";1;37224;4.5;9.99;"1AmazonBasicsAAA1.5VoltPerformanceAlkalineBatteries-Packof36(Appearancemayvary)"
